prices,latitudes,longitudes,metro_stations,areas,floors,min_books
153000,55.851874,37.638288,"[['Ѕотанический сад', '6Ц10'], ['—виблово', '11Ц15'], ['–остокиноот', '31']]",52.9,1,11 мес.
420000,55.773479,37.680823,"[['Ѕауманска€до', '5'], [' расносельска€', '16Ц20'], [' омсомольска€', '16Ц20']]",78,1,36 мес.
190000,55.69544710755564,37.57977959936544,"[['јкадемическа€', '11Ц15'], ['ѕлощадь √агарина', '16Ц20'], ['Ћенинский проспект', '16Ц20']]",75,1,11 мес.
290000,55.74819946,37.79834747,"[['ѕерово', '11Ц15'], [' усково', '16Ц20'], ['Ќовогиреево', '16Ц20']]",83,1,11 мес.
125000,55.76879883,37.58792877,"[['ћа€ковска€', '6Ц10'], ['Ѕелорусска€', '11Ц15'], ['Ѕаррикадна€', '11Ц15']]",50.9,,11 мес.
310000,55.84770966,37.37059021,"[['ћитино', '6Ц10'], ['ѕ€тницкое шоссе', '16Ц20'], ['¬олоколамска€', '21Ц30']]",94,1,11 мес.
160000,55.73974609,37.670681,"[['ћарксистска€', '11Ц15'], ['ѕлощадь »льича', '11Ц15'], [' ресть€нска€ застава', '11Ц15']]",50,1,11 мес.
1,55.74864578,37.63744354,"[[' итай-город', '6Ц10'], ['Ќовокузнецка€', '16Ц20'], ['ѕлощадь революции', '16Ц20']]",76.7,1,11 мес.
135000,55.75515,37.603541,"[['јрбатска€', '6Ц10'], ['Ѕиблиотека им. Ћенина', '6Ц10'], ['јлександровский сад', '11Ц15']]",60,,11 мес.
220000,55.73974609,37.670681,"[['ћарксистска€', '11Ц15'], ['ѕлощадь »льича', '11Ц15'], [' ресть€нска€ застава', '11Ц15']]",70,1,11 мес.
160000,55.89211655,37.65901184,"[['ћедведково', '6Ц10'], ['Ѕабушкинска€от', '31'], ['Ѕибиревоот', '31']]",69.8,1,11 мес.
70000,55.689634,37.85833,"[['∆улебинодо', '5'], ['”хтомска€', '16Ц20'], ['Ћермонтовский проспект', '16Ц20']]",55.3,1,12 мес.
2000,55.58220291,37.59188843,"[['јннинодо', '5'], ['Ћесопаркова€', '11Ц15'], ['”лица академика янгел€', '16Ц20']]",50,1,6 мес.
160000,55.80809642994097,37.5823733045034,"[['ƒмитровска€до', '5'], ['Ѕутырска€', '16Ц20'], ['“имир€зевска€', '16Ц20']]",60,2,11 мес.
76500,55.785118,37.716432,"[['—емЄновска€до', '5'], ['Ёлектрозаводска€', '11Ц15'], ['ѕреображенска€ площадь', '11Ц15']]",51,2,11 мес.
300000,55.75285339,37.79196167,"[['ѕероводо', '5'], ['Ќовогиреево', '16Ц20'], [' усково', '21Ц30']]",60,1,11 мес.
119250,55.945806,37.365469,"[['Ќовоподрезково', '21Ц30'], ['ѕодрезковоот', '31'], ['ћолжаниновоот', '31']]",79.5,1,11 мес.
2400,55.794173,37.608338,"[['ћарьина –оща', '6Ц10'], ['—авЄловска€', '16Ц20'], ['ƒостоевска€', '21Ц30']]",67.1,2,11 мес.
200000,55.78156,37.612883,"[['ƒостоевска€до', '5'], ['Ќовослободска€', '6Ц10'], ['ћенделеевска€', '11Ц15']]",75,1,11 мес.
240000,55.68187780100985,37.59499215813002,"[[' рымска€', '16Ц20'], ['јкадемическа€', '16Ц20'], ['Ќагорна€', '21Ц30']]",77.5,1,11 мес.
206250,55.721214,37.701727,"[['”грешска€', '6Ц10'], ['¬олгоградский проспект', '11Ц15'], [' алитники', '21Ц30']]",99,1,11 мес.
139500,55.711879,37.626618,"[['“ульска€', '6Ц10'], ['Ўаболовска€', '21Ц30'], ['—ерпуховска€', '21Ц30']]",55,2,11 мес.
800,55.77719498,37.53553772,"[['Ѕегова€', '6Ц10'], ['ѕолежаевска€', '11Ц15'], ['’орошЄвска€', '11Ц15']]",50,3,1 мес.
220000,55.863090928702775,37.374378836805285,"[['ѕ€тницкое шоссе', '21Ц30'], ['ћитино', '21Ц30'], ['¬олоколамска€от', '31']]",85,1,11 мес.
89200,55.73745728,37.7300148,"[['Ќижегородска€', '6Ц10'], ['јндроновка', '16Ц20'], [' алитники', '21Ц30']]",56.4,1,11 мес.
203000,55.851874,37.638288,"[['Ѕотанический сад', '6Ц10'], ['—виблово', '11Ц15'], ['–остокиноот', '31']]",70,1,11 мес.
100634,55.884711,37.556388,"[['Ѕескудниково', '11Ц15'], ['яхромска€', '11Ц15'], ['Ћианозово', '21Ц30']]",75.1,2,11 мес.
100000,55.74000549,37.60952377,"[[' ропоткинска€', '11Ц15'], ['ѕол€нка', '11Ц15'], ['“реть€ковска€', '16Ц20']]",50,,5 мес.
270000,55.643988,37.543192,"[['Ѕел€ево', '11Ц15'], [' алужска€', '16Ц20'], ['¬оронцовска€', '21Ц30']]",68.4,1,11 мес.
1535,55.83824387982612,37.493587922047666,"[['¬одный стадион', '6Ц10'], ['Ѕалтийска€', '21Ц30'], [' оптево', '21Ц30']]",90,1,11 мес.
5000,55.7799331398931,37.698692376651735,"[['Ёлектрозаводска€', '6Ц10'], ['Ѕауманска€', '16Ц20'], ['—емЄновска€', '21Ц30']]",78,1,11 мес.
180000,55.65503227468997,37.409796840614234,"[['√оворово', '11Ц15'], ['—олнцево', '16Ц20'], ['ћещерска€', '21Ц30']]",81.8,1,11 мес.
90000,55.807643,37.560772,"[['√ражданска€', '6Ц10'], ['ƒмитровска€', '16Ц20'], ['“имир€зевска€', '21Ц30']]",85,,3 мес.
4000,55.75021708970391,37.68999107138059,"[['ћосква-“оварна€', '11Ц15'], ['–имска€', '11Ц15'], ['—ерп и ћолот', '11Ц15']]",58,1,11 мес.
80000,55.621292,37.728613,"[['Ўипиловска€', '11Ц15'], [' расногвардейска€', '16Ц20'], ['ƒомодедовска€', '16Ц20']]",67,3,11 мес.
133650,55.810208,37.509703,"[['—окол', '6Ц10'], ['¬ойковска€', '16Ц20'], [' расный Ѕалтиец', '21Ц30']]",59.4,1,11 мес.
550000,55.75841141,37.62998581,"[['Ћуб€нкадо', '5'], [' итай-городдо', '5'], ['ѕлощадь революции', '6Ц10']]",55,1,11 мес.
330000,55.723876,37.777149,"[['ќкска€', '6Ц10'], ['ѕлющево', '11Ц15'], ['¬ешн€ки', '16Ц20']]",100,1,11 мес.
270000,55.880722,37.633913,"[['ћедведково', '21Ц30'], ['Ѕибирево', '21Ц30'], ['Ѕабушкинска€от', '31']]",82,1,11 мес.
140000,55.634131,37.659173,"[[' антемировска€до', '5'], ['÷арицыно', '16Ц20'], ['ћоскворечье', '21Ц30']]",90,1,12 мес.
180000,55.815475322044335,37.75283158399199,"[['Ѕульвар –окоссовского', '21Ц30'], ['Ћокомотивот', '31'], ['„еркизовска€от', '31']]",75,1,11 мес.
118000,55.843141,37.374075,"[['ћитино', '6Ц10'], ['¬олоколамска€', '11Ц15'], ['ѕ€тницкое шоссе', '21Ц30']]",74,2,11 мес.
180000,55.815475322044335,37.75283158399199,"[['Ѕульвар –окоссовского', '21Ц30'], ['Ћокомотивот', '31'], ['„еркизовска€от', '31']]",75,1,11 мес.
5000,55.7799331398931,37.698692376651735,"[['Ёлектрозаводска€', '6Ц10'], ['Ѕауманска€', '16Ц20'], ['—емЄновска€', '21Ц30']]",78,1,11 мес.
100000,55.890814225700595,37.57046970218096,"[['јлтуфьево', '16Ц20'], ['Ѕескудниково', '21Ц30'], ['Ћианозово', '21Ц30']]",91.3,,11 мес.
130000,55.758533327745845,37.80507651289748,"[['Ќовогиреево', '16Ц20'], ['ѕерово', '16Ц20'], [' усково', '21Ц30']]",64,1,11 мес.
2600,55.746664,37.631469,"[['Ќовокузнецка€', '6Ц10'], ['“реть€ковска€', '11Ц15'], [' итай-город', '16Ц20']]",70,2,11 мес.
98000,55.88959482929754,37.539958257513064,"[['Ћианозово', '11Ц15'], ['яхромска€', '11Ц15'], ['ћарк', '21Ц30']]",57,3,11 мес.
190000,55.722654,37.569315,"[['—портивна€до', '5'], ['Ћужники', '6Ц10'], ['‘рунзенска€', '11Ц15']]",70,,11 мес.
210000,55.73859024,37.65930939,"[['ћарксистска€до', '5'], ['“аганска€', '6Ц10'], [' ресть€нска€ застава', '11Ц15']]",70,2,11 мес.
170000,55.603224816033375,37.65505674878742,"[['ѕокровское', '21Ц30'], ['÷арицыноот', '31'], [' расный —троительот', '31']]",80,1,11 мес.
190000,55.8164742077272,37.42337108064146,"[['—партак', '11Ц15'], ['“ушинска€', '16Ц20'], ['—трогиноот', '31']]",76,1,11 мес.
95000,55.750991497193034,37.717007476805136,"[['јвиамоторна€до', '5'], ['—ортировочна€', '16Ц20'], ['јндроновка', '16Ц20']]",70,1,11 мес.
350000,55.773788,37.630257,"[['—ухаревска€до', '5'], ['ѕроспект ћира', '6Ц10'], ['÷ветной бульвар', '11Ц15']]",97.4,1,9 мес.
550000,55.550005,37.488251,"[['ѕотапово', '6Ц10'], ['Ќовомосковска€', '21Ц30'], ['Ѕунинска€ алле€от', '31']]",93,1,11 мес.
66000,55.53891754,37.54437637,"[['Ѕульвар адмирала ”шакова', '11Ц15'], ['”лица √орчакова', '11Ц15'], ['”лица —кобелевска€', '16Ц20']]",50,1,11 мес.
350000,55.75741577,37.64585114,"[[' итай-город', '11Ц15'], ['„каловска€', '11Ц15'], [' урска€', '11Ц15']]",100,3,11 мес.
140000,55.54889297,37.48791885,"[['ѕотапово', '6Ц10'], ['Ќовомосковска€', '21Ц30'], ['Ѕунинска€ алле€от', '31']]",58,1,11 мес.
150000,55.807602,37.635422,"[['јлексеевска€до', '5'], ['¬ƒЌ’', '16Ц20'], ['–ижска€', '21Ц30']]",61,4,11 мес.
65000,55.891345,37.585494,"[['јлтуфьево', '6Ц10'], ['Ѕибирево', '16Ц20'], ['Ѕескудниково', '21Ц30']]",50,,11 мес.
165000,55.84086063195525,37.37661987441501,"[['¬олоколамска€', '6Ц10'], ['ћитино', '11Ц15'], ['“рикотажна€', '21Ц30']]",88,1,24 мес.
200000,55.84645462,37.56266022,"[['ќкружна€', '6Ц10'], ['Ћихоборы', '11Ц15'], ['¬ерхние Ћихоборы', '16Ц20']]",79.4,1,11 мес.
250000,55.72344,37.772361,"[['ќкска€', '6Ц10'], ['ѕлющево', '11Ц15'], ['„ухлинка', '16Ц20']]",73.7,1,11 мес.
180000,55.66629521510717,37.7353205142593,"[['Ѕратиславска€', '21Ц30'], ['ѕерерва', '21Ц30'], ['ћарьино', '21Ц30']]",84,1,12 мес.
119590,55.79265594,37.59085464,"[['—авЄловска€до', '5'], ['ћенделеевска€', '16Ц20'], ['ћарьина –оща', '16Ц20']]",82,,6 мес.
100000,55.75442505,37.65559006,"[['„каловска€до', '5'], [' урска€', '6Ц10'], [' итай-город', '16Ц20']]",77,1,11 мес.
110000,55.603746,37.65576,"[['ѕокровское', '21Ц30'], ['÷арицыноот', '31'], [' расный —троительот', '31']]",70.5,1,11 мес.
190000,55.64426611313685,37.544623987454344,"[['Ѕел€ево', '16Ц20'], [' алужска€', '16Ц20'], ['¬оронцовска€', '21Ц30']]",52,1,11 мес.
260000,55.780967,37.689312,"[['Ёлектрозаводска€', '11Ц15'], ['Ѕауманска€', '16Ц20'], ['ћитьково', '21Ц30']]",87,6,11 мес.
219000,55.868364,37.463682,"[['Ѕеломорска€', '11Ц15'], ['’оврино', '21Ц30'], ['–ечной вокзал', '21Ц30']]",79.1,1,11 мес.
100000,55.75442505,37.65559006,"[['„каловска€до', '5'], [' урска€', '6Ц10'], [' итай-город', '16Ц20']]",76,1,11 мес.
122400,55.96506754568958,37.171072814819325,"[['«еленоград- рюковоот', '31']]",54.4,1,11 мес.
180000,55.87853622,37.47911453,"[['’овринодо', '5'], ['Ћевобережна€', '16Ц20'], ['Ѕеломорска€', '21Ц30']]",60,3,11 мес.
120000,55.693175,37.62077,"[['¬ерхние котлыдо', '5'], ['Ќагатинска€', '11Ц15'], [' рымска€', '16Ц20']]",87,2,11 мес.
230000,55.635523,37.758644,"[['јлма-јтинска€', '6Ц10'], ['Ѕорисово', '11Ц15'], ['ћарьино', '21Ц30']]",100,1,11 мес.
350000,55.694750978249424,37.463112018524164,"[['јминьевска€', '6Ц10'], ['ћатвеевска€', '21Ц30'], ['ќчаково', '21Ц30']]",65,1,11 мес.
240000,55.81740992718677,37.747075356684775,"[['Ѕульвар –окоссовского', '11Ц15'], ['Ћокомотивот', '31'], ['„еркизовска€от', '31']]",56.8,1,11 мес.
95000,55.801916,37.826233,"[['ѕервомайска€', '21Ц30'], ['ўЄлковска€', '21Ц30'], ['»змайловска€от', '31']]",55,1,11 мес.
73000,55.82436049718258,37.63222225428635,"[['¬ƒЌ’', '6Ц10'], ['ќстанкино', '21Ц30'], ['јлексеевска€', '21Ц30']]",56,2,11 мес.
350000,55.789488126343066,37.58881276686477,"[['—авЄловска€', '6Ц10'], ['ћенделеевска€', '11Ц15'], ['Ѕелорусска€', '16Ц20']]",100,1,11 мес.
76800,55.857033,37.557421,"[['¬ерхние Ћихоборыдо', '5'], ['Ћихоборы', '16Ц20'], ['—елигерска€', '16Ц20']]",51.2,1,11 мес.
